brand_name,mall_name,province,city,district,address,store_name,floor,phone,business_hours,latitude,longitude,source_url,tags,is_active
New Balance,三里屯太古里,北京市,北京市,朝阳区,三里屯路19号院,New Balance 北京三里屯太古里全球概念店,南区地下1层 SLG-19,010-50353315,10:00 - 22:00,39.8982,116.4162,https://www.newbalance.com.cn,"全球概念店,限量首发,Grey Store,Made in USA",true
New Balance,北京SKP-S,北京市,北京市,朝阳区,建国路86号,New Balance 北京SKP-S先锋概念店,3层 潮流专区,010-87542604,10:00 - 22:00,39.9161,116.3991,https://www.newbalance.com.cn,"先锋概念店,联名限定,高端潮流",true
New Balance,国贸商城,北京市,北京市,朝阳区,建国门外大街1号,New Balance 北京国贸商城专营店,中区地下1层 WB110,010-87798132,10:00 - 22:00,39.9159,116.406,https://www.newbalance.com.cn,"精品店,英产991,高端生活",true
New Balance,朝阳大悦城,北京市,北京市,朝阳区,朝阳北路101号,New Balance 北京朝阳大悦城店,4层 4F-18,010-67833102,10:00 - 22:00,39.9092,116.3985,https://www.newbalance.com.cn,"NB 1906潮流店,综合体验,跑鞋矩阵",true
New Balance,王府中环,北京市,北京市,东城区,王府井大街269号,New Balance 北京王府中环旗舰店,B1层 B108,010-70126343,10:00 - 22:00,39.9103,116.4178,https://www.newbalance.com.cn,"旗舰店,经典复古,Made in UK",true
New Balance,东方新天地,北京市,北京市,东城区,东长安街1号,New Balance 北京东方新天地店,首层 EE06,010-58855451,10:00 - 22:00,39.9017,116.4013,https://www.newbalance.com.cn,"经典体验店,复古跑鞋",true
New Balance,西单大悦城,北京市,北京市,西城区,西单北大街131号,New Balance 北京西单大悦城店,5层 5F-02,010-84803776,10:00 - 22:00,39.9043,116.3993,https://www.newbalance.com.cn,"NB 1906潮流店,青年潮流,热销经典",true
New Balance,西单汉光百货,北京市,北京市,西城区,西单北大街176号,New Balance 北京汉光百货专柜,4层 运动专区,010-71163350,10:00 - 22:00,39.8961,116.3968,https://www.newbalance.com.cn,"核心百货专柜,经典慢跑",true
New Balance,西单君太百货,北京市,北京市,西城区,西单北大街133号,New Balance 北京君太百货店,B1层 潮流馆,010-87946189,10:00 - 22:00,39.9051,116.4177,https://www.newbalance.com.cn,"百货专柜,复古跑鞋",true
New Balance,金融街购物中心,北京市,北京市,西城区,金城坊街2号,New Balance 北京金融街购物中心店,3层 L3-12,010-84579241,10:00 - 22:00,39.9077,116.4007,https://www.newbalance.com.cn,"精品店,商务休闲,英美产",true
New Balance,颐堤港,北京市,北京市,朝阳区,酒仙桥路18号,New Balance 北京颐堤港Running Store,2层 L2-25,010-76041906,10:00 - 22:00,39.9069,116.3994,https://www.newbalance.com.cn,"跑步专营店,足态分析,专业竞速",true
